127.0.0.1 - - [24/Apr/2022:20:33:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:08 +0530] "GET /orsproject4/ HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:08 +0530] "GET /orsproject4/img/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:10 +0530] "GET /orsproject4/WelcomeCtl HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:12 +0530] "GET /orsproject4/LoginCtl HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:25 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:36 +0530] "GET /orsproject4/ctl/CollegeListCtl HTTP/1.1" 200 14470
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:37 +0530] "GET /orsproject4/ctl/StudentCtl HTTP/1.1" 200 9042
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:37 +0530] "GET /orsproject4/ctl/src/main/webapp/js/calendar.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:38 +0530] "GET /orsproject4/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:38 +0530] "GET /orsproject4/ErrorCtl HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:38 +0530] "GET /orsproject4/img/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:42 +0530] "GET /orsproject4/ctl/StudentCtl HTTP/1.1" 200 9042
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:42 +0530] "GET /orsproject4/ctl/src/main/webapp/js/calendar.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:44 +0530] "GET /orsproject4/ctl/StudentCtl HTTP/1.1" 200 9042
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:44 +0530] "GET /orsproject4/ctl/src/main/webapp/js/calendar.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [24/Apr/2022:20:33:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
