127.0.0.1 - - [06/May/2022:13:36:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2022:13:36:50 +0530] "GET /orsproject4/ HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [06/May/2022:13:36:50 +0530] "GET /orsproject4/img/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2022:13:36:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/May/2022:13:36:52 +0530] "GET /orsproject4/WelcomeCtl HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [06/May/2022:13:36:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:36:54 +0530] "GET /orsproject4/LoginCtl HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [06/May/2022:13:36:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:37:03 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [06/May/2022:13:37:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:37:07 +0530] "GET /orsproject4/LoginCtl?operation=logout HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [06/May/2022:13:37:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:38:04 +0530] "GET /orsproject4/LoginCtl HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [06/May/2022:13:38:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:38:12 +0530] "GET /orsproject4/ HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [06/May/2022:13:39:14 +0530] "GET /orsproject4/WelcomeCtl HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [06/May/2022:13:39:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:40:58 +0530] "GET /orsproject4/LoginCtl HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [06/May/2022:13:40:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:41:03 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [06/May/2022:13:41:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:47:03 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [06/May/2022:13:47:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:49:31 +0530] "GET /orsproject4/ForgetPasswordCtl HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [06/May/2022:13:49:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:52:57 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4750
0:0:0:0:0:0:0:1 - - [06/May/2022:13:52:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:00 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4750
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:06 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:08 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:11 +0530] "GET /orsproject4/LoginCtl HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:18 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:26 +0530] "POST /orsproject4/LoginCtl HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [06/May/2022:13:53:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:37 +0530] "GET /orsproject4/ctl/UserListCtl HTTP/1.1" 200 9843
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:46 +0530] "GET /orsproject4/ctl/CollegeCtl HTTP/1.1" 200 7145
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:48 +0530] "GET /orsproject4/ctl/UserListCtl HTTP/1.1" 200 9843
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:50 +0530] "GET /orsproject4/ctl/CollegeListCtl HTTP/1.1" 200 14772
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:54 +0530] "GET /orsproject4/ctl/RoleCtl HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:58 +0530] "GET /orsproject4/ctl/TimeTableListCtl HTTP/1.1" 200 8878
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:54:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:00 +0530] "GET /orsproject4/ctl/TimeTableCtl HTTP/1.1" 500 3499
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:12 +0530] "GET /orsproject4/ctl/StudentListCtl HTTP/1.1" 200 8804
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:20 +0530] "GET /orsproject4/ctl/CourseListCtl HTTP/1.1" 200 13006
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:26 +0530] "POST /orsproject4/ctl/CourseListCtl HTTP/1.1" 200 9397
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/May/2022:13:55:30 +0530] "GET /orsproject4/ctl/StudentCtl HTTP/1.1" 200 9344
